datetime,count
2011-01-05,1589.80493333333
2011-01-09,1049.1113
2011-01-12,1190.8789
2011-01-16,1205.66204444444
2011-01-21,1501.92283333333
2011-01-25,1847.29813333333
2011-01-28,1198.94287777778
2011-02-01,1397.72376666667
2011-02-06,1622.54353333333
2011-02-10,1519.1476
2011-02-13,1644.23847777778
2011-02-17,2420.4239
2011-02-22,1504.07523333333
2011-02-26,1980.12203333333
2011-03-01,1863.118
2011-03-05,2171.86363333333
2011-03-10,1340.67746666667
2011-03-14,2091.7587
2011-03-17,2620.87653333333
2011-03-21,2168.8866
2011-03-26,2369.18616666667
2011-03-30,1605.953
2011-04-02,2204.054
2011-04-06,2727.3886
2011-04-11,3322.60586666667
2011-04-15,3172.65343333333
2011-04-18,3537.7909
2011-04-22,1802.69046666667
2011-04-27,4000.01326666667
2011-05-01,3339.13966666667
2011-05-04,2621.26833333333
2011-05-08,4414.529
2011-05-13,4253.5454
2011-05-17,4160.7346
2011-05-20,4890.82703333333
2011-05-24,4481.6592
2011-05-29,4019.7999
2011-06-02,5012.81173333333
2011-06-05,4851.3092
2011-06-09,3967.41783333333
2011-06-14,4903.4646
2011-06-18,5144.45713333334
2011-06-21,4780.0601
2011-06-25,5190.47636666667
2011-06-30,5406.60360000001
2011-07-04,4715.4175
2011-07-07,4596.72623333334
2011-07-11,4162.28716666667
2011-07-16,5156.88103333333
2011-07-20,4375.16516666667
2011-07-23,3458.95913333333
2011-07-27,4662.7322
2011-08-01,4338.76783333333
2011-08-05,4832.02683333333
2011-08-08,4366.0293
2011-08-12,4913.10183333333
2011-08-17,4712.43033333333
2011-08-21,3890.29356666667
2011-08-24,5097.23903333334
2011-08-28,4385.83446666667
2011-09-02,4741.91436666667
2011-09-06,2729.23622380952
2011-09-09,3606.2006
2011-09-13,4768.87623333333
2011-09-18,4324.2854
2011-09-22,4573.94823333333
2011-09-25,4896.84256666667
2011-09-29,4846.9228
2011-10-04,4434.29623333333
2011-10-08,4820.3728
2011-10-11,4506.51326666667
2011-10-15,5145.48366666666
2011-10-20,4259.85916666667
2011-10-24,4194.63196666667
2011-10-27,2775.73123333333
2011-10-31,3820.34673333334
2011-11-05,3900.62126666666
2011-11-09,4083.28463333333
2011-11-12,3995.70303333333
2011-11-16,1962.19136666667
2011-11-21,2734.7808
2011-11-25,2873.89076666667
2011-11-28,3856.3246
2011-12-02,3896.2204
2011-12-07,1030.68596666667
2011-12-11,2760.93926666667
2011-12-14,3698.9278
2011-12-18,2474.54556666667
2011-12-23,2249.7189
2011-12-27,1262.8906
2011-12-30,3019.3355
2012-01-03,2240.46353333333
2012-01-08,3481.93283333333
2012-01-12,4029.75746666666
2012-01-15,2362.4421
2012-01-19,3248.00016666667
2012-01-24,4225.05106666667
2012-01-28,3998.9495
2012-01-31,4450.03036666667
2012-02-04,2846.5877
2012-02-09,3777.12763333333
2012-02-13,3390.2512
2012-02-16,3093.82396666666
2012-02-20,3185.93946666667
2012-02-25,2797.6395
2012-02-29,2146.02093333333
2012-03-03,4068.01513333333
2012-03-07,4774.47866666666
2012-03-12,5424.1956
2012-03-16,4521.65383333333
2012-03-19,6191.7492
2012-03-23,6947.7998
2012-03-28,5761.4872
2012-04-01,4930.3309
2012-04-04,6402.26123333333
2012-04-08,5048.63343333333
2012-04-13,6314.71786666667
2012-04-17,6701.54256666667
2012-04-20,7131.0689
2012-04-24,5605.94646666667
2012-04-29,5635.47636666666
2012-05-03,6436.19313333333
2012-05-06,5981.1902
2012-05-10,6675.2149
2012-05-15,5150.50813333333
2012-05-19,6217.0775
2012-05-22,6127.3849
2012-05-26,5357.5873
2012-05-31,7314.3641
2012-06-04,6978.38296666667
2012-06-07,7438.83570000001
2012-06-11,6670.98663333333
2012-06-16,6069.23476666666
2012-06-20,6266.30573333333
2012-06-23,6135.04523333333
2012-06-27,7361.29466666667
2012-07-02,6270.01323333333
2012-07-06,6139.19939999999
2012-07-09,6599.2738
2012-07-13,7254.7931
2012-07-18,6140.68443333333
2012-07-22,6274.9211
2012-07-25,7881.64066666666
2012-07-29,6187.11433333333
2012-08-03,7097.64226666666
2012-08-07,7170.67403333334
2012-08-10,5982.04296666666
2012-08-14,6831.63673333333
2012-08-19,5352.53623333333
2012-08-23,7708.6401
2012-08-26,5196.60273333333
2012-08-30,7676.22816666667
2012-09-04,6990.81473333333
2012-09-08,5971.657
2012-09-11,7613.4666
2012-09-15,7055.38073333333
2012-09-20,7688.51606666666
2012-09-24,7425.3356
2012-09-27,7351.46523333333
2012-10-01,6996.81193333333
2012-10-06,6390.5015
2012-10-10,7552.9012
2012-10-13,5919.28876666666
2012-10-17,7259.7225
2012-10-22,7143.76843333333
2012-10-26,7370.77073333333
2012-10-29,947.087366666666
2012-11-02,5776.55146666666
2012-11-07,5105.16336666667
2012-11-11,5656.2194
2012-11-14,5480.31056666667
2012-11-18,4613.891
2012-11-23,3809.11856666666
2012-11-27,3906.9836
2012-11-30,5624.33636666667
2012-12-04,6507.5338
2012-12-09,3423.11533333333
2012-12-13,5476.80306666667
2012-12-16,3954.27676666667
2012-12-20,4141.58103333333
2012-12-25,2116.2074
2012-12-29,1637.75406666667
